,marie_best_friend,tina_best_friend,marie_enemy,marie_best_friend_paraphrase,bob_best_friend,unrelated_weather,unrelated_tech,marie_sister,tina_sister,anna_la,anna_sf,anna_la_past
marie_best_friend,1.000000,0.922971,0.983796,0.920834,0.914037,0.798851,0.772123,0.982069,0.899232,0.852942,0.863211,0.808381
tina_best_friend,0.922971,1.000000,0.892028,0.890320,0.926027,0.790919,0.744996,0.898613,0.983938,0.820094,0.829831,0.789241
marie_enemy,0.983796,0.892028,1.000000,0.916218,0.884277,0.806589,0.787109,0.986822,0.887519,0.866660,0.874191,0.813868
marie_best_friend_paraphrase,0.920834,0.890320,0.916218,1.000000,0.906969,0.861780,0.871264,0.901739,0.874099,0.915547,0.920808,0.846780
bob_best_friend,0.914037,0.926027,0.884277,0.906969,1.000000,0.809833,0.775204,0.884480,0.897685,0.832108,0.840852,0.792329
unrelated_weather,0.798851,0.790919,0.806589,0.861780,0.809833,1.000000,0.821982,0.793266,0.786179,0.860160,0.864200,0.800165
unrelated_tech,0.772123,0.744996,0.787109,0.871264,0.775204,0.821982,1.000000,0.761729,0.740486,0.849445,0.854164,0.800990
marie_sister,0.982069,0.898613,0.986822,0.901739,0.884480,0.793266,0.761729,1.000000,0.905438,0.855939,0.864876,0.803829
tina_sister,0.899232,0.983938,0.887519,0.874099,0.897685,0.786179,0.740486,0.905438,0.999999,0.823018,0.831617,0.789000
anna_la,0.852942,0.820094,0.866660,0.915547,0.832108,0.860160,0.849445,0.855939,0.823018,1.000000,0.981916,0.912424
anna_sf,0.863211,0.829831,0.874191,0.920808,0.840852,0.864200,0.854164,0.864876,0.831617,0.981916,1.000000,0.898289
anna_la_past,0.808381,0.789241,0.813868,0.846780,0.792329,0.800165,0.800990,0.803829,0.789000,0.912424,0.898289,1.000000
