,marie_best_friend,tina_best_friend,marie_enemy,marie_best_friend_paraphrase,bob_best_friend,unrelated_weather,unrelated_tech,marie_sister,tina_sister,anna_la,anna_sf,anna_la_past
marie_best_friend,1.000000,0.999433,0.999603,0.999336,0.999286,0.997284,0.997257,0.999553,0.998957,0.997793,0.997932,0.997247
tina_best_friend,0.999433,1.000000,0.998997,0.999188,0.999314,0.997479,0.997447,0.999055,0.999565,0.997798,0.997894,0.997272
marie_enemy,0.999603,0.998997,1.000000,0.999133,0.998965,0.997791,0.997777,0.999701,0.999058,0.998170,0.998270,0.997551
marie_best_friend_paraphrase,0.999336,0.999188,0.999133,1.000000,0.999256,0.997797,0.997769,0.999121,0.998918,0.997929,0.998043,0.997204
bob_best_friend,0.999286,0.999314,0.998965,0.999256,1.000000,0.997729,0.997582,0.998934,0.998921,0.997929,0.997997,0.997287
unrelated_weather,0.997284,0.997479,0.997791,0.997797,0.997729,1.000000,0.997861,0.997805,0.997925,0.997826,0.997855,0.997218
unrelated_tech,0.997257,0.997447,0.997777,0.997769,0.997582,0.997861,1.000001,0.997770,0.997893,0.997638,0.997629,0.996966
marie_sister,0.999553,0.999055,0.999701,0.999121,0.998934,0.997805,0.997770,1.000001,0.999446,0.998234,0.998359,0.997591
tina_sister,0.998957,0.999565,0.999058,0.998918,0.998921,0.997925,0.997893,0.999446,1.000000,0.998164,0.998248,0.997552
anna_la,0.997793,0.997798,0.998170,0.997929,0.997929,0.997826,0.997638,0.998234,0.998164,1.000000,0.999726,0.999100
anna_sf,0.997932,0.997894,0.998270,0.998043,0.997997,0.997855,0.997629,0.998359,0.998248,0.999726,1.000000,0.998885
anna_la_past,0.997247,0.997272,0.997551,0.997204,0.997287,0.997218,0.996966,0.997591,0.997552,0.999100,0.998885,1.000000
